id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
54280809,Vacation home in Barongarook West · ★4.95 · 2 bedrooms · 2 beds · 1 bath,102541386,Colac Otway,-38.44398,143.56369,Entire home/apt,270,2,40,25-11-2023,1.71,3,156,16
54284603,Home in Barwon Heads · ★5.0 · 5 bedrooms · 6 beds · 3 baths,440260664,Greater Geelong,-38.2856,144.49327,Entire home/apt,1500,2,26,25-11-2023,1.23,18,57,12
54295343,Home in Newtown · ★4.87 · 3 bedrooms · 3 beds · 2 baths,440371309,Greater Geelong,-38.15601,144.34331,Entire home/apt,400,2,15,19-03-2023,0.68,1,357,5
54296232,Home in Ocean Grove · 4 bedrooms · 5 beds · 2 baths,27192016,Greater Geelong,-38.26983,144.52953,Entire home/apt,1008,2,2,14-03-2022,0.09,40,348,0
54298584,Rental unit in Geelong · ★4.98 · 2 bedrooms · 2 beds · 1 bath,184339821,Greater Geelong,-38.154732,144.356628,Entire home/apt,301,1,148,26-12-2023,6.29,1,0,76
54308538,Guest suite in Highton · ★4.91 · 3 bedrooms · 3 beds · 1 bath,167752014,Greater Geelong,-38.16359,144.31518,Entire home/apt,167,1,66,21-12-2023,4.02,1,302,46
54310251,Vacation home in Torquay · ★4.81 · 2 bedrooms · 3 beds · 1 bath,11054373,Surf Coast,-38.33234,144.31954,Entire home/apt,450,2,27,19-08-2023,1.15,1,0,6
54318151,Home in Ocean Grove · ★4.88 · 3 bedrooms · 5 beds · 2 baths,11564097,Greater Geelong,-38.27072144,144.5144653,Entire home/apt,713,2,25,23-12-2023,1.16,1,340,13
54320221,Home in Barwon Heads · 3 bedrooms · 5 beds · 2 baths,29902659,Greater Geelong,-38.27864,144.49319,Entire home/apt,767,2,1,13-03-2022,0.05,123,5,0
54322131,Home in Ocean Grove · 4 bedrooms · 5 beds · 3 baths,15510375,Greater Geelong,-38.25773,144.54647,Entire home/apt,543,4,2,01-01-2023,0.09,1,160,1
54343539,Home in Apollo Bay · ★4.57 · 3 bedrooms · 4 beds · 2 baths,104022814,Colac Otway,-38.75540161,143.6670075,Entire home/apt,732,2,21,04-06-2023,0.92,65,82,6
54343982,Rental unit in Apollo Bay · ★4.88 · 3 bedrooms · 6 beds · 2 baths,23012645,Colac Otway,-38.7545,143.66867,Entire home/apt,295,2,68,22-12-2023,2.93,36,248,33
54344413,Home in Fairhaven · 4 bedrooms · 5 beds · 2 baths,84586909,Surf Coast,-38.4657,144.08779,Entire home/apt,589,2,0,,0.15,587,173,0
54358096,Home in Point Lonsdale · 4 bedrooms · 7 beds · 2 baths,98096620,Queenscliffe,-38.282017,144.614288,Entire home/apt,830,2,1,27-11-2022,0.08,96,133,0
54371480,Home in Fairhaven · 3 bedrooms · 3 beds · 2 baths,84586909,Surf Coast,-38.4622,144.09385,Entire home/apt,541,2,0,,0.12,587,97,0
54380899,Cabin in Beech Forest · ★5.0 · 1 bedroom · 1 bed · 1 bath,105241796,Colac Otway,-38.63141,143.56641,Entire home/apt,295,2,10,02-10-2023,0.51,3,229,8
54386808,Townhouse in Lorne · ★5.0 · 3 bedrooms · 3 beds · 2 baths,84586909,Surf Coast,-38.5429,143.97381,Entire home/apt,518,2,3,26-02-2022,0.13,587,1,0
54400305,Vacation home in Skenes Creek · ★4.75 · 3 bedrooms · 6 beds · 1.5 baths,22272602,Colac Otway,-38.72339,143.70967,Entire home/apt,400,2,4,21-05-2023,0.33,1,147,3
5.01E+17,Home in Fairhaven · 4 bedrooms · 5 beds · 3 baths,98362024,Surf Coast,-38.465389,144.07132,Entire home/apt,900,2,1,26-03-2023,0.11,113,355,1
5.05E+17,Vacation home in Point Lonsdale · ★5.0 · 3 bedrooms · 6 beds · 2 baths,3302887,Greater Geelong,-38.28407,144.60131,Entire home/apt,379,2,8,19-12-2023,0.34,1,159,5
5.07E+17,Home in Wattle Hill · ★5.0 · 4 bedrooms · 4 beds · 2 baths,23274365,Corangamite,-38.7507209,143.2543993,Entire home/apt,708,2,9,14-01-2023,0.37,3,326,3
5.07E+17,Home in Wattle Hill · ★5.0 · 4 bedrooms · 4 beds · 2 baths,23274365,Corangamite,-38.7507209,143.2543993,Entire home/apt,810,2,5,03-01-2023,0.21,3,334,1
5.07E+17,Home in Wattle Hill · ★4.93 · 4 bedrooms · 4 beds · 2 baths,23274365,Corangamite,-38.7507209,143.2543993,Entire home/apt,809,2,14,20-11-2023,0.59,3,337,5
5.10E+17,Home in Port Campbell · ★5.0 · 3 bedrooms · 5 beds · 2 baths,34895609,Corangamite,-38.62035,142.99817,Entire home/apt,476,2,17,25-12-2023,0.71,1,163,8
5.17E+17,Home in Fairhaven · 4 bedrooms · 7 beds · 2 baths,98362024,Surf Coast,-38.462982,144.095306,Entire home/apt,700,2,0,,0.12,113,347,0
5.17E+17,Home in Aireys Inlet · 3 bedrooms · 3 beds · 1 bath,98362024,Surf Coast,-38.452812,144.116302,Entire home/apt,400,5,0,,0.2,113,327,0
5.23E+17,Home in Connewarre · ★5.0 · 4 bedrooms · 4 beds · 3 baths,247150216,Greater Geelong,-38.27209,144.45205,Entire home/apt,950,5,4,09-01-2023,0.18,1,351,2
5.27E+17,Home in Apollo Bay · ★4.31 · 1 bedroom · 1 bed · 1 private bath,141233532,Colac Otway,-38.74966,143.66084,Private room,398,1,13,13-04-2023,0.57,9,345,8
5.32E+17,Home in Ocean Grove · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,53247361,Greater Geelong,-38.24401,144.54038,Entire home/apt,363,2,10,02-04-2023,0.46,1,334,3
5.38E+17,Home in Birregurra · ★4.90 · 1 bedroom · 1 bed · 1 bath,143385321,Colac Otway,-38.3367178,143.7839115,Entire home/apt,340,1,41,16-12-2023,3.38,1,352,41
5.40E+17,Rental unit in Geelong · ★4.98 · 1 bedroom · 1 bed · 1 bath,81162421,Greater Geelong,-38.15424,144.35621,Entire home/apt,246,1,58,09-12-2023,2.57,1,48,28
5.40E+17,Guesthouse in Peterborough · ★4.98 · 2 bedrooms · 2 beds · 1 bath,88037319,Corangamite,-38.59497,142.90418,Entire home/apt,377,1,89,22-12-2023,3.94,1,0,70
5.41E+17,Home in Belmont · 3 bedrooms · 4 beds · 1 bath,23230574,Greater Geelong,-38.16657,144.3464,Entire home/apt,167,20,0,,0.41,1,0,0
5.42E+17,Earthen home in Birregurra · ★5.0 · 5 bedrooms · 7 beds · 3.5 baths,74391766,Colac Otway,-38.34796,143.78616,Entire home/apt,450,2,18,09-12-2023,1.5,1,0,18
5.43E+17,Home in Barwon Heads · ★5.0 · 4 bedrooms · 7 beds · 2.5 baths,441113311,Greater Geelong,-38.27402,144.48806,Entire home/apt,814,3,9,01-10-2023,0.44,1,55,5
5.45E+17,Home in Saint Leonards · ★4.92 · 3 bedrooms · 3 beds · 1.5 baths,21189565,Greater Geelong,-38.16844,144.7123,Entire home/apt,546,3,13,12-03-2023,0.6,1,214,7
5.45E+17,Condo in Lorne · ★4.96 · 1 bedroom · 1 bed · 1 bath,209385208,Surf Coast,-38.543324,143.975296,Entire home/apt,310,2,67,01-12-2023,3.4,1,31,37
5.46E+17,Vacation home in Aireys Inlet · ★4.88 · 3 bedrooms · 6 beds · 2 baths,66972121,Surf Coast,-38.45691,144.10402,Entire home/apt,787,2,59,20-12-2023,2.79,1,331,28
5.46E+17,Home in Anglesea · ★4.65 · 3 bedrooms · 4 beds · 3 baths,436105044,Surf Coast,-38.42563,144.16923,Entire home/apt,665,2,48,21-12-2023,2.08,67,0,27
5.46E+17,Home in Anglesea · ★4.73 · 2 bedrooms · 5 beds · 1 bath,113507257,Surf Coast,-38.40571,144.17511,Entire home/apt,230,2,15,06-11-2023,1.33,1,153,15
5.46E+17,Home in Newtown · ★4.97 · 4 bedrooms · 4 beds · 2 baths,159058007,Greater Geelong,-38.15519,144.3273,Entire home/apt,550,2,31,16-12-2023,1.5,1,268,19
5.48E+17,Vacation home in Portarlington · ★4.96 · 3 bedrooms · 6 beds · 2 baths,442170009,Greater Geelong,-38.12239838,144.6369934,Entire home/apt,499,2,27,17-04-2023,1.17,3,330,2
5.49E+17,Home in Queenscliff · 4 bedrooms · 4 beds · 2 baths,129945846,Queenscliffe,-38.26913,144.66157,Entire home/apt,538,1,1,12-02-2023,0.09,58,137,1
5.49E+17,Guest suite in Marengo · ★4.92 · 1 bedroom · 1 bed · 1 private bath,5260129,Colac Otway,-38.77032,143.66242,Private room,329,2,25,12-10-2023,1.08,13,202,12
5.49E+17,Guest suite in Marengo · ★4.93 · 1 bedroom · 1 bed · 1 private bath,5260129,Colac Otway,-38.771461,143.661667,Private room,269,2,41,17-12-2023,1.78,13,206,20
5.49E+17,Rental unit in Herne Hill · ★4.50 · 1 bedroom · 1 bed · 1 bath,26930658,Greater Geelong,-38.13366,144.32724,Entire home/apt,80,2,8,09-06-2022,0.36,1,0,0
5.49E+17,Home in Barongarook · ★5.0 · 3 bedrooms · 6 beds · 2 baths,22937439,Colac Otway,-38.40206,143.62184,Entire home/apt,364,3,6,06-11-2023,0.62,1,326,6
5.50E+17,Rental unit in Port Fairy · ★4.72 · 2 bedrooms · 2 beds · 2 baths,442458962,Moyne,-38.38362,142.2343,Entire home/apt,395,2,43,04-12-2023,1.91,1,86,19
5.50E+17,Home in Geelong · ★4.81 · 3 bedrooms · 3 beds · 2.5 baths,53483056,Greater Geelong,-38.15687,144.35546,Entire home/apt,360,2,26,25-11-2023,1.14,26,154,7
5.51E+17,Guest suite in Marengo · ★4.80 · 1 bedroom · 1 bed · 1 private bath,5260129,Colac Otway,-38.771461,143.661667,Private room,314,2,40,16-12-2023,1.76,13,197,21
5.52E+17,Home in Lorne · ★4.91 · 4 bedrooms · 5 beds · 2 baths,52916477,Surf Coast,-38.53044,143.97698,Entire home/apt,750,2,22,23-11-2023,1.04,1,332,9
5.52E+17,Loft in Saint Leonards · 1 bedroom · 3 beds · 1 bath,54775713,Greater Geelong,-38.17053,144.71021,Entire home/apt,187,1,0,,0.04,3,0,0
5.56E+17,Vacation home in Newtown · ★4.77 · 3 bedrooms · 5 beds · 1 bath,95789540,Greater Geelong,-38.1466,144.33429,Entire home/apt,329,1,83,24-11-2023,4.06,1,240,55
5.56E+17,Home in Skenes Creek · ★4.93 · 2 bedrooms · 6 beds · 1 bath,36853487,Colac Otway,-38.72073,143.71406,Entire home/apt,400,2,14,17-12-2023,1.06,1,138,12
5.57E+17,Boutique hotel in Warrnambool · 1 bedroom · 3 beds · 1 private bath,84578847,Warrnambool,-38.38783,142.5128,Private room,485,1,1,25-08-2023,0.24,6,11,1
5.57E+17,Home in Saint Leonards · ★5.0 · 4 bedrooms · 5 beds · 2 baths,220633564,Greater Geelong,-38.18886,144.70819,Entire home/apt,418,2,13,06-11-2023,0.6,1,334,7
5.57E+17,Cottage in Dunkeld · ★4.85 · 3 bedrooms · 3 beds · 2 baths,376038437,Southern Grampians,-37.64612,142.34478,Entire home/apt,261,2,47,25-12-2023,2.09,1,333,20
5.57E+17,Home in Torquay · ★4.77 · 2 bedrooms · 3 beds · 1.5 baths,2988363,Surf Coast,-38.327957,144.321686,Entire home/apt,367,2,111,25-12-2023,5.34,1,324,62
5.57E+17,Townhouse in Port Campbell · ★4.97 · 3 bedrooms · 4 beds · 2 baths,179708191,Corangamite,-38.62224,142.99838,Entire home/apt,600,1,99,23-12-2023,5.27,1,0,71
